"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"11","80-10-007079","2010-01-19 17:00:00","2010-01-19 17:00:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","234","OTHER / UNKNOWN","3400 BLOCK BOHNE AVE                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40211"
"12","80-10-004516","2010-01-19 16:49:00","2010-01-19 16:49:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","4800 BLOCK ROCKAWAY CIR                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40216"
"13","80-10-008879","2010-02-05 18:18:00","2010-02-05 18:00:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","135","PARKING LOT / GARAGE","400 BLOCK E JEFFERSON ST                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"14","80-10-008646","2010-02-04 22:16:00","2010-02-04 22:16:00","ASSAULT","13A","PART I","COMPLETED","6TH DIVISION","613","RESIDENCE / HOME","6000 BLOCK OAKDALE LN                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40219"
"15","80-10-009902","2010-02-10 19:28:00","2010-02-10 19:28:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","100 BLOCK E KINGSTON AVE                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40214"
"16","80-10-009902","2010-02-10 19:28:00","2010-02-10 19:28:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","436","RESIDENCE / HOME","100 BLOCK E KINGSTON AVE                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40214"
"17","80-10-011836","2010-02-19 05:30:00","2010-02-19 01:37:00","ASSAULT","13B","PART II","COMPLETED","8TH DIVISION","811","PARKING LOT / GARAGE","CHAMBERLAIN LN / MAPLE BROOK DR                             ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40241"
"18","80-10-011948","2010-02-16 14:33:00","2010-02-16 14:33:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","RESIDENCE / HOME","1200 BLOCK S 2ND ST                                         ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"19","80-10-012300","2010-02-20 16:45:00","2010-02-20 15:30:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","GOVERNMENT / PUBLIC BUILDING","400 BLOCK S 6TH ST                                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40202"
"20","80-10-012300","2010-02-20 16:45:00","2010-02-20 15:30:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","GOVERNMENT / PUBLIC BUILDING","400 BLOCK S 6TH ST                                          ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40202"
"21","80-10-010455","2010-02-12 14:29:00","2010-02-12 14:29:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","111","RESIDENCE / HOME","2900 BLOCK BANK ST                                          ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40212"
"22","80-10-013171","2010-02-24 10:14:00","2010-02-24 10:14:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","111","GROCERY / SUPERMARKET","500 BLOCK N 35TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40212"
"23","80-10-013678","2010-02-26 01:05:00","2010-02-26 01:05:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","612","HIGHWAY / ROAD / ALLEY","5600 BLOCK PRESTON HWY                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40219"
"24","80-10-015221","2010-03-03 12:33:00","2010-03-03 12:33:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","GOVERNMENT / PUBLIC BUILDING","300 BLOCK YORK ST                                           ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"25","80-10-014425","2010-03-01 01:26:00","2010-03-01 01:26:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","OTHER / UNKNOWN","400 BLOCK E JEFFERSON ST                                    ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40202"
"26","80-10-014569","2010-03-01 15:03:00","2010-03-01 15:03:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","613","","4900 BLOCK EXETER AVE                                       ","ASSAULT 3RD DEGREE (EMS,FIRE, RESCUE SQUAD)","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40218"
"27","80-10-017187","2010-03-06 04:10:00","2010-03-06 04:10:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","424","RESIDENCE / HOME","100 BLOCK W GARRETT ST                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40214"
"28","80-10-017450","2010-03-11 00:21:00","2010-03-11 00:21:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","812","RESTAURANT","2900 BLOCK GOOSE CREEK RD                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40241"
"29","80-10-017617","2010-02-01 17:19:00","2010-02-01 17:19:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","S 25TH ST  / W MARKET ST                                    ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40212"
"30","80-10-018645","2010-03-16 20:53:00","2010-03-16 20:53:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 18TH ST  / CEDAR ST                                       ","ASSAULT - 3RD DEGREE (OFFICER TRANSPORTING INMATES)","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"31","80-10-018645","2010-03-16 20:53:00","2010-03-16 20:53:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 18TH ST  / CEDAR ST                                       ","TERRORISTIC THREATENING 2ND DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"32","80-10-018738","2010-03-07 12:28:00","2010-03-07 12:28:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","225","SPECIALTY STORE (TV, FUR, ETC)","1700 BLOCK DIXIE HWY                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"33","80-10-020329","2010-03-22 22:06:00","2010-03-22 22:06:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","700 BLOCK E JACOB ST                                        ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40203"
"34","80-10-020358","2010-03-23 00:29:00","2010-03-23 00:29:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","331","RESIDENCE / HOME","7000 BLOCK KENTUCKY AVE                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40258"
"35","80-10-020613","2010-03-23 22:03:00","2010-03-23 22:03:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","DIXIE HWY / WILSON AVE                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40210"
"36","80-10-021532","2010-03-27 02:03:00","2010-03-27 02:03:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","423","PARKING LOT / GARAGE","4400 BLOCK S 5TH ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40214"
"37","80-10-022527","2010-02-24 17:54:00","2010-02-24 17:54:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","500 BLOCK DRESDEN AVE                                       ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"38","80-10-021045","2010-03-25 13:09:00","2010-03-25 13:09:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","BAR / NIGHT CLUB","400 BLOCK S 4TH ST                                          ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"39","80-10-039167","2010-05-26 15:26:00","2010-05-26 15:26:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","1200 BLOCK ARCADE AVE                                       ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"40","80-10-039752","2010-05-27 19:54:00","2010-05-27 19:54:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","435","OTHER RESIDENCE (APARTMENT/CONDO)","4000 BLOCK TAYLOR BLVD                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"41","80-10-040772","2010-05-29 01:29:00","2010-05-29 01:02:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","BAR / NIGHT CLUB","8000 BLOCK DIXIE HWY                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40258"
"42","80-10-040248","2010-05-30 02:42:00","2010-05-30 02:42:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","BEECHER ST / TAYLOR BLVD                                    ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","INVESTIGATING SUSPICIOUS PERSONS OR CIRCUMSTANCE","LOUISVILLE","40215"
"43","80-10-041400","2010-06-03 03:00:00","2010-06-03 02:50:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","S 8TH ST / OLDHAM ST                                        ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"44","80-10-039809","2010-05-28 13:10:00","2010-05-28 13:00:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","S 15TH ST / MAPLE ST                                        ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40210"
"45","80-10-041758","2010-05-19 01:29:00","2010-05-19 01:25:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","HIGHWAY / ROAD / ALLEY","E BROADWAY / S HANCOCK ST                                   ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40202"
"46","80-10-045195","2010-06-11 22:30:00","2010-06-11 22:00:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","435","HIGHWAY / ROAD / ALLEY","1500 BLOCK SQUIRES DR                                       ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40215"
"47","80-10-046682","2010-06-06 01:52:00","2010-06-06 01:03:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","111","HIGHWAY / ROAD / ALLEY","N 34TH ST / NORTHWESTERN PKY                                ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"48","80-10-028670","2010-04-20 20:49:00","2010-04-20 20:49:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","OTHER / UNKNOWN","S 24TH ST / W CHESTNUT ST                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"49","80-10-046964","2010-06-21 22:27:00","2010-06-21 22:15:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","3400 BLOCK LARKWOOD AVE                                     ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40212"
"50","80-10-024118","2010-01-22 18:59:00","2010-01-22 18:59:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","BAR / NIGHT CLUB","W BROADWAY/26TH STREET                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","",""
"51","80-10-038740","2010-05-23 14:36:00","2010-05-23 14:36:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","612","OTHER / UNKNOWN","6300 BLOCK PRESTON HWY                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40219"
"52","80-10-047965","2010-06-14 18:26:00","2010-06-14 18:26:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","735","HIGHWAY / ROAD / ALLEY","5400 BLOCK CLEARWATER FARM BLVD                             ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40219"
"53","80-10-049747","2010-06-29 14:45:00","2010-06-29 14:40:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","625","SERVICE / GAS STATION","4500 BLOCK TAYLORSVILLE RD                                  ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40220"
"54","80-10-048129","2010-06-25 20:34:00","2010-06-25 20:30:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","3100 BLOCK W BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"55","80-10-048129","2010-06-25 20:34:00","2010-06-25 20:30:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","3100 BLOCK W BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"56","80-10-048129","2010-06-25 20:34:00","2010-06-25 20:30:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","3100 BLOCK W BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"57","80-10-051132","2010-07-01 01:35:00","2010-07-01 01:27:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","135","PARKING LOT / GARAGE","600 BLOCK E BROADWAY                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40202"
"58","80-10-062761","2010-08-13 02:07:00","2010-08-13 02:00:00","ASSAULT","13C","PART II","COMPLETED","3RD DIVISION","315","RESIDENCE / HOME","10500 BLOCK DIXIE HWY                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40272"
"59","80-10-063062","2010-08-13 23:16:00","2010-08-13 23:14:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","W BROADWAY / DIXIE HWY                                      ","ASSAULT - 2ND DEGREE - POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40203"
"60","80-10-066334","2010-08-20 15:47:00","2010-08-20 15:30:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","123","HIGHWAY / ROAD / ALLEY","200 BLOCK W BROADWAY                                        ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40202"
"61","80-10-064788","2010-08-19 18:45:00","2010-08-19 18:35:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","613","HIGHWAY / ROAD / ALLEY","GOLDSMITH LN / NEWBURG RD                                   ","MENACING","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ATTEMPTING OTHER ARREST","LOUISVILLE","40218"
"62","80-10-064917","2010-08-17 22:49:00","2010-08-17 22:40:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","1400 BLOCK S FLOYD ST                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40208"
"63","80-10-067475","2010-08-28 20:50:00","2010-08-28 20:23:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","2800 BLOCK YORKSHIRE BLVD                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40220"
"64","80-10-067475","2010-08-28 20:50:00","2010-08-28 20:23:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","2800 BLOCK YORKSHIRE BLVD                                   ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) MINOR INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40220"
"65","80-10-068350","2010-08-31 23:20:00","2010-08-31 23:00:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","PARK / PLAYGROUND","1400 BLOCK WEYLER AVE                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40215"
"66","80-10-068350","2010-08-31 23:20:00","2010-08-31 23:00:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","PARK / PLAYGROUND","1400 BLOCK WEYLER AVE                                       ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40215"
"67","80-10-068350","2010-08-31 23:20:00","2010-08-31 23:00:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","423","PARK / PLAYGROUND","1400 BLOCK WEYLER AVE                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40215"
"68","80-10-068481","2010-08-30 20:03:00","2010-08-30 20:03:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","613","OTHER / UNKNOWN","5600 BLOCK REDONDO CIR                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40218"
