INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year
80-17-012897,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,NA
80-17-012897,HOMICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40215,NULL,NULL,NULL,NA
80-17-014321,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40241,NULL,NULL,NULL,NA
80-17-014321,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40241,NULL,NULL,NULL,NA
80-17-014494,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40272,NULL,NULL,NULL,NA
80-17-015302,SUICIDE,NULL,NULL,NULL,NULL,NULL,NULL,LOUISVILLE          ,KY,40210,NULL,NULL,NULL,NA
80-16-091552,BURGLARY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT99     ,9MM  ,2/22/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,F,41,2017
80-17-015225,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,2/22/2017,DIXIE HWY AT I265                                           ,LOUISVILLE          ,KY,40272,WHITE,M,19,2017
80-17-014942,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",COBRA ENTERPRISES INC                                  ,CA SERIES      ,380C ,2/21/2017,4200 BLOCK S 2ND ST                                         ,LOUISVILLE          ,KY,40214,BLACK,F,19,2017
80-17-015000,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,45C  ,2/21/2017,4500 BLOCK S 6TH ST                                         ,LOUISVILLE          ,KY,40214,WHITE,M,32,2017
80-17-014921,WPNS LAW VIOLATION,NULL,"GLOCK, INC.                                            ",MODEL 31/31C (3,     ,2/21/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,24,2017
80-17-014610,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,SEE BRYCO      ,380C ,2/20/2017,2500 BLOCK ALANMEDE RD                                      ,LOUISVILLE          ,KY,40205,WHITE,M,16,2017
80-17-014580,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,4570,2/19/2017,3700 BLOCK OBOE DR                                          ,LOUISVILLE          ,KY,40216,BLACK,M,23,2017
80-17-014412,WPNS LAW VIOLATION,"RIFLE, SEMI-AUTOMATIC                                  ","ROCK ISLAND ARMORY INC. (GENESEO, IL)                  ",               ,22C  ,2/19/2017,5200 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE          ,KY,40228,BLACK,M,28,2017
80-17-014045,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BERETTA (INDUSTRIA S.A.)                               ,PX4 STORM      ,45C  ,2/17/2017,1500 BLOCK FRANKFORT AVE                                    ,LOUISVILLE          ,KY,40206,NULL,NULL,NULL,2017
80-17-013774,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",COBRA ENTERPRISES INC                                  ,CA SERIES      ,380C ,2/17/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,M,49,2017
80-17-013774,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",COBRA ENTERPRISES INC                                  ,CA SERIES      ,380C ,2/17/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,M,49,2017
80-17-013773,WPNS LAW VIOLATION,"RIFLE, SEMI-AUTOMATIC                                  ",O. F. MOSSBERG & SONS                                  ,BLAZE 47       ,22C  ,2/17/2017,7TH STREET RD / WATHEN LN                                   ,SHIVELY             ,KY,40215,BLACK,M,19,2017
80-17-013773,WPNS LAW VIOLATION,"RIFLE, SEMI-AUTOMATIC                                  ",O. F. MOSSBERG & SONS                                  ,BLAZE 47       ,22C  ,2/17/2017,7TH STREET RD / WATHEN LN                                   ,SHIVELY             ,KY,40215,BLACK,M,19,2017
80-17-013773,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",P-3AT          ,380C ,2/17/2017,7TH STREET RD / WATHEN LN                                   ,SHIVELY             ,KY,40215,BLACK,M,19,2017
80-17-013773,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",P-3AT          ,380C ,2/17/2017,7TH STREET RD / WATHEN LN                                   ,SHIVELY             ,KY,40215,BLACK,M,19,2017
80-17-013756,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: M&P   ,9MM  ,2/17/2017,CONSTANCE DR                                                ,LOUISVILLE          ,KY,40272,WHITE,M,19,2017
80-17-013485,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: P SER,45C  ,2/16/2017,100 BLOCK W OAK ST                                          ,LOUISVILLE          ,KY,40203,BLACK,M,33,2017
80-17-013601,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,22C  ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013601,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,22C  ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013601,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",AMERICAN TACTICAL IMPORTS (ATI)                        ,               ,223C ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013601,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",AMERICAN TACTICAL IMPORTS (ATI)                        ,               ,223C ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013601,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",               ,9MM  ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013601,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",               ,9MM  ,2/16/2017,1300 BLOCK S 7TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,23,2017
80-17-013472,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,HANDGUNS: P SER,45C  ,2/16/2017,2200 BLOCK W MARKET ST                                      ,LOUISVILLE          ,KY,40212,BLACK,M,39,2017
80-17-013445,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,BODYGUARD      ,380C ,2/16/2017,3100 BLOCK LAKEHEATH DR                                     ,LOUISVILLE          ,KY,40213,BLACK,M,38,2017
80-17-013445,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",O. F. MOSSBERG & SONS                                  ,               ,12GA ,2/16/2017,3100 BLOCK LAKEHEATH DR                                     ,LOUISVILLE          ,KY,40213,BLACK,M,38,2017
80-17-013445,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",HIGH STANDARD MANUFACTURING COMPANY (HOUSTON)          ,               ,22C  ,2/16/2017,3100 BLOCK LAKEHEATH DR                                     ,LOUISVILLE          ,KY,40213,BLACK,M,38,2017
80-17-013463,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,TP9            ,9MM  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,          ,NULL,NULL,NULL,2017
80-17-013639,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,45C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017
80-17-013639,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,45C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,35,2017
80-17-013647,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,CAL 22 LR HV   ,22C  ,2/16/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,43,2017
80-17-013475,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,2/16/2017,800 BLOCK BRENTWOOD AVE                                     ,LOUISVILLE          ,KY,40215,WHITE,M,44,2017
80-17-013475,WPNS LAW VIOLATION,"PISTOL, DERRINGER                                      ",                                                       ,               ,22C  ,2/16/2017,800 BLOCK BRENTWOOD AVE                                     ,LOUISVILLE          ,KY,40215,WHITE,M,44,2017
80-17-013177,AGGRAVATED ASSAULT,NULL,SMITH & WESSON                                         ,PISTOLS: M&P   ,     ,2/15/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,51,2017
80-17-013356,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIREARMS CORPORATION                       ,               ,40C  ,2/15/2017,9500 BLOCK YELLOW PINE CT                                   ,LOUISVILLE          ,KY,40229,WHITE,M,24,2017
80-17-013356,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIREARMS CORPORATION                       ,               ,40C  ,2/15/2017,9500 BLOCK YELLOW PINE CT                                   ,LOUISVILLE          ,KY,40229,WHITE,M,24,2017
80-17-013374,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,SCCY           ,9MM  ,2/15/2017,DIXIE HWY / GARLAND AVE                                     ,LOUISVILLE          ,KY,40210,BLACK,M,18,2017
80-17-013349,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,2/15/2017,S 22ND ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,26,2017
80-17-012876,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",COBRA ENTERPRISES INC                                  ,               ,380C ,2/14/2017,11600 BLOCK SEMILLON LN                                     ,LOUISVILLE          ,KY,40272,WHITE,M,34,2017
80-17-012608,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,2/14/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,30,2017
80-17-012997,WPNS LAW VIOLATION,NULL,                                                       ,               ,22C  ,2/14/2017,700 BLOCK ROSELANE ST                                       ,LOUISVILLE          ,KY,40203,BLACK,M,19,2017
80-17-012855,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,380C ,2/14/2017,FERN VALLEY RD / HANSES DR                                  ,LOUISVILLE          ,KY,40219,BLACK,M,27,2017
80-17-012585,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",COLT                                                   ,               ,22C  ,2/14/2017,S 22ND ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,30,2017
80-17-012885,INTIMIDATION,"PISTOL, SEMI-AUTOMATIC                                 ",BRYCO ARMS                                             ,JENNINGS NINE  ,9MM  ,2/14/2017,S 26TH ST / W CHESTNUT ST                                   ,LOUISVILLE          ,KY,40211,BLACK,M,49,2017
80-17-012793,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,2/13/2017,3400 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,19,2017
80-17-012491,STOLEN PROPERTY,NULL,SMITH & WESSON                                         ,RIFLE: M&P 15  ,     ,2/13/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,20,2017
80-17-012491,STOLEN PROPERTY,NULL,"GLOCK, INC.                                            ",MODEL 30 (45 AC,     ,2/13/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,20,2017
80-17-012858,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,9MM  ,2/13/2017,9600 BLOCK EL PRADO ST                                      ,LOUISVILLE          ,KY,40272,WHITE,M,55,2017
80-17-012576,WPNS LAW VIOLATION,"PISTOL, DERRINGER                                      ",COBRA ENTERPRISES INC                                  ,               ,38C  ,2/13/2017,S 41ST ST / W MARKET ST                                     ,LOUISVILLE          ,KY,40212,BLACK,M,45,2017
80-17-012543,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",NORTH AMERICAN ARMS                                    ,               ,22C  ,2/12/2017,4200 BLOCK POPPY AVE                                        ,LOUISVILLE          ,KY,40216,WHITE,M,36,2017
80-17-012441,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",BROWNING ARMS CO.                                      ,               ,380C ,2/12/2017,S 38TH ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,16,2017
80-17-012324,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,22C  ,2/12/2017,S 44TH ST / DEL PARK TER                                    ,LOUISVILLE          ,KY,40211,WHITE,M,28,2017
80-17-012068,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,2/11/2017,1500 BLOCK S 12TH ST                                        ,LOUISVILLE          ,KY,40210,BLACK,M,22,2017
80-17-012098,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,THUNDER 40 PRO ,40C  ,2/11/2017,2500 BLOCK MONTPELIER CT                                    ,LOUISVILLE          ,KY,40272,WHITE,M,58,2017
80-17-012218,ROBBERY,"PISTOL, REVOLVER                                       ",HIGH (HI) STANDARD                                     ,DOUBLE NINE    ,22C  ,2/11/2017,400 BLOCK N 29TH ST                                         ,LOUISVILLE          ,KY,40212,BLACK,M,18,2017
80-17-012218,ROBBERY,"PISTOL, REVOLVER                                       ",HIGH (HI) STANDARD                                     ,DOUBLE NINE    ,22C  ,2/11/2017,400 BLOCK N 29TH ST                                         ,LOUISVILLE          ,KY,40212,BLACK,M,18,2017
80-17-012200,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",P-32           ,32C  ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,M,22,2017
80-17-012200,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BRYCO ARMS                                             ,               ,380C ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,WHITE,M,22,2017
80-17-012265,VANDALISM,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD9VE          ,9MM  ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,18,2017
80-17-012265,VANDALISM,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD9VE          ,9MM  ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,18,2017
80-17-012265,VANDALISM,"PISTOL, REVOLVER                                       ",                                                       ,H&R MODEL 732  ,32C  ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,18,2017
80-17-012265,VANDALISM,"PISTOL, REVOLVER                                       ",                                                       ,H&R MODEL 732  ,32C  ,2/11/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,18,2017
80-17-012109,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: M&P   ,40C  ,2/11/2017,BRECKENRIDGE LN / HILLSBORO RD                              ,ST_MATTHEWS         ,KY,40207,WHITE,M,25,2017
80-17-012039,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,2/10/2017,1500 BLOCK LONGFIELD AVE                                    ,LOUISVILLE          ,KY,40215,WHITE,F,23,2017
80-17-012039,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ",                                                       ,               ,12GA ,2/10/2017,1500 BLOCK LONGFIELD AVE                                    ,LOUISVILLE          ,KY,40215,WHITE,F,23,2017
80-17-011817,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40           ,40C  ,2/10/2017,3700 BLOCK LENTZ AVE                                        ,LOUISVILLE          ,KY,40215,BLACK,M,28,2017
80-17-011680,NARCOTICS,NULL,TAURUS INTERNATIONAL                                   ,MODEL PT145    ,     ,2/10/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011680,NARCOTICS,NULL,TAURUS INTERNATIONAL                                   ,MODEL PT-24/7  ,     ,2/10/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011680,NARCOTICS,NULL,TAURUS INTERNATIONAL                                   ,               ,     ,2/10/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011680,NARCOTICS,NULL,"GLOCK, INC.                                            ",MODEL 21/21C (4,     ,2/10/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011680,NARCOTICS,NULL,JIMENEZ ARMS                                           ,               ,     ,2/10/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011424,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,9MM  ,2/9/2017,0 BLOCK GRAND AVENUE CT                                     ,LOUISVILLE          ,KY,40211,BLACK,M,27,2017
80-17-011652,WPNS LAW VIOLATION,NULL,STANDARD ARMS OF NEVADA                                ,               ,     ,2/9/2017,1700 BLOCK WILART DR                                        ,LOUISVILLE          ,KY,40210,BLACK,M,18,2017
80-17-011777,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",PISTOL: MODEL X,9MM  ,2/9/2017,5400 BLOCK CRAMBROOK AVE                                    ,LOUISVILLE          ,KY,40272,WHITE,M,57,2017
80-17-011732,NARCOTICS,"PISTOL, REVOLVER                                       ",CHARTER ARMS CORP.                                     ,               ,38C  ,2/9/2017,600 BLOCK MALLARD CREEK RD                                  ,ST_MATTHEWS         ,KY,40207,BLACK,F,23,2017
80-17-005013,AUTO THEFT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,MOD910         ,9MM  ,2/9/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-011492,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",                                                       ,MOE RIP        ,556M ,2/9/2017,S 28TH ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,WHITE,M,27,2017
80-17-011492,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",NORINCO (NORTH CHINA INDUSTRIES)                       ,               ,762M ,2/9/2017,S 28TH ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,WHITE,M,27,2017
80-17-011481,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,4570,2/8/2017,1200 BLOCK SOUTHWESTERN PKY                                 ,LOUISVILLE          ,KY,40211,BLACK,M,29,2017
80-17-011395,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",                                                       ,               ,357C ,2/8/2017,300 BLOCK S 10TH ST                                         ,LOUISVILLE          ,KY,40203,BLACK,M,57,2017
80-14-032487,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",EUROPEAN AMERICAN ARMS CORP.                           ,               ,38C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017
80-14-032487,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40VE         ,40C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017
80-14-032487,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 27 (40 SW,40C  ,2/8/2017,3500 BLOCK PARTHENIA AVE                                    ,LOUISVILLE          ,KY,40215,BLACK,F,33,2017
80-17-005893,STOLEN PROPERTY,"PISTOL, SINGLE-SHOT                                    ",COMANCHE FIREAMRS                                      ,               ,410G ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,28,2017
80-17-005893,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",PISTOL: MODEL X,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,28,2017
80-17-010679,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",GLOCK GMBH                                             ,MODEL 17/17C (9,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-010681,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",SMITH & WESSON                                         ,65-3           ,357C ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2017
80-17-010831,NARCOTICS,NULL,SMITH & WESSON                                         ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,25,2017
80-17-010831,NARCOTICS,NULL,SMITH & WESSON                                         ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,25,2017
80-17-010862,AGGRAVATED ASSAULT,NULL,                                                       ,               ,     ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,54,2017
80-17-010862,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BROWNING ARMS CO.                                      ,               ,9MM  ,2/7/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,54,2017
80-17-010698,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNAT                                        ,MODEL PT111    ,9MM  ,2/6/2017,200 BLOCK S BIRCHWOOD AVE                                   ,LOUISVILLE          ,KY,40206,HISPANIC,M,43,2017
80-17-010589,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,TAURUS INTERNAT,9MM  ,2/6/2017,3000 BLOCK MID DALE LN                                      ,LOUISVILLE          ,KY,40220,WHITE,M,21,2017
80-17-010583,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","SKYY INDUSTRIES, LLC                                   ",               ,9MM  ,2/6/2017,3400 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,22,2017
80-17-010699,STOLEN PROPERTY,"PISTOL, REVOLVER                                       ",CHARTER ARMS CORP.                                     ,UNDERCOVER     ,38C  ,2/6/2017,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,F,15,2017
80-17-010601,ROBBERY,NULL,                                                       ,               ,     ,2/6/2017,7800 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,NULL,NULL,NULL,2017
80-17-010601,ROBBERY,NULL,                                                       ,               ,     ,2/6/2017,7800 BLOCK OUTER LOOP                                       ,LOUISVILLE          ,KY,40219,NULL,NULL,NULL,2017
